Company Name,Symbol,Industry
ITC Ltd.,ITC,CONSUMER GOODS
Indraprastha Gas Ltd.,IGL,OIL & GAS
Infosys Ltd.,INFY,IT
Larsen & Toubro Infotech Ltd.,LTI,IT
MRF Ltd.,MRF,AUTOMOBILE
NMDC Ltd.,NMDC,METALS
Punjab National Bank,PNB,FINANCIAL SERVICES
Tata Consultancy Services Ltd.,TCS,IT
United Breweries Ltd.,UBL,CONSUMER GOODS
ABB India Ltd.,ABB,INDUSTRIAL MANUFACTURING
Bharat Dynamics Ltd.,BDL,INDUSTRIAL MANUFACTURING
CCL Products (I) Ltd.,CCL,CONSUMER GOODS
Dilip Buildcon Ltd.,DBL,CONSTRUCTION
Hindustan Aeronautics Ltd.,HAL,INDUSTRIAL MANUFACTURING
ICICI Securities Ltd.,ISEC,FINANCIAL SERVICES
ITI Ltd.,ITI,TELECOM
Indian Energy Exchange Ltd.,IEX,FINANCIAL SERVICES
Indian Overseas Bank,IOB,FINANCIAL SERVICES
Jindal Stainless Ltd.,JSL,METALS
KEI Industries Ltd.,KEI,INDUSTRIAL MANUFACTURING
KSB Ltd.,KSB,INDUSTRIAL MANUFACTURING
Kec International Ltd.,KEC,POWER
MMTC Ltd.,MMTC,SERVICES
MOIL Ltd.,MOIL,METALS
Mahanagar Gas Ltd.,MGL,OIL & GAS
Multi Commodity Exchange of India Ltd.,MCX,FINANCIAL SERVICES
NBCC (India) Ltd.,NBCC,CONSTRUCTION
NCC Ltd.,NCC,CONSTRUCTION
Narayana Hrudayalaya Ltd.,NH,HEALTHCARE SERVICES
National Fertilizers Ltd.,NFL,FERTILISERS & PESTICIDES
Oil India Ltd.,OIL,OIL & GAS
Power Finance Corporation Ltd.,PFC,FINANCIAL SERVICES
Rain Industries Ltd,RAIN,CHEMICALS
Rashtriya Chemicals & Fertilizers Ltd.,RCF,FERTILISERS & PESTICIDES
SIS Ltd.,SIS,SERVICES
Sheela Foam Ltd.,SFL,CONSUMER GOODS
Shipping Corporation of India Ltd.,SCI,SERVICES
Strides Pharma Science Ltd.,STAR,PHARMA
Varun Beverages Ltd.,VBL,CONSUMER GOODS
Vodafone Idea Ltd.,IDEA,TELECOM
Action Construction Equipment Ltd.,ACE,INDUSTRIAL MANUFACTURING
Fertilisers and Chemicals Travancore Ltd.,FACT,FERTILISERS & PESTICIDES
Gateway Distriparks Ltd.,GDL,SERVICES
Hindustan Construction Co. Ltd.,HCC,CONSTRUCTION
PTC India Fin Serv Ltd.,PFS,FINANCIAL SERVICES
PTC India Ltd.,PTC,POWER
Transport Corporation of India Ltd.,TCI,SERVICES
NIFTY 50,^NSEI,Index
Tata Consultancy Services,TCS.NS,IT Services
Titan Company,TITAN.NS,Jewellery
IndusInd Bank,INDUSINDBK.NS,Banking
Bajaj Finance,BAJFINANCE.NS,NBFC
Coal India,COALINDIA.NS,Mining
Bajaj Auto,BAJAJ-AUTO.NS,Automobile
Apollo Hospitals Enterprise,APOLLOHOSP.NS,Healthcare
Hero MotoCorp,HEROMOTOCO.NS,Automobile
Larsen & Toubro,LT.NS,Engineering
Maruti Suzuki India,MARUTI.NS,Automobile
ICICI Bank,ICICIBANK.NS,Banking
Tata Consumer Products,TATACONSUM.NS,FMCG
Adani Enterprises,ADANIENT.NS,Diversified
Tata Steel,TATASTEEL.NS,Steel
Nestle India,NESTLEIND.NS,FMCG
UltraTech Cement,ULTRACEMCO.NS,Cement
Hindalco Industries,HINDALCO.NS,Aluminium
Reliance Industries,RELIANCE.NS,Conglomerate
Oil and Natural Gas Corporation,ONGC.NS,Oil & Gas
Bajaj Finserv,BAJAJFINSV.NS,NBFC
Tech Mahindra,TECHM.NS,IT Services
Wipro,WIPRO.NS,IT Services
Cipla,CIPLA.NS,Pharmaceutical
Britannia Industries,BRITANNIA.NS,Food Processing
NTPC,NTPC.NS,Power
Bharti Airtel,BHARTIARTL.NS,Telecom
ITC,ITC.NS,FMCG
Kotak Mahindra Bank,KOTAKBANK.NS,Banking
HDFC Life Insurance Company,HDFCLIFE.NS,Insurance
